"Name","Runtime","Notes","Tags","batch_size","epochs","learning_rate","model_dim","num_encoders","patch_size","use_pe","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy.max","val_loss.min"
"northern-sweep-7","88","-","","512","20","0.001","384","2","14","true","95.55","0.14460638975724577","96.28333333333332","0.11734326078363184","95.48333333333332","0.153810428455472"
"prime-sweep-29","71","-","","1024","20","0.001","384","2","14","true","95.28","0.15644212290644646","96.2074074074074","0.12164374567427726","95.15","0.16478726516167322"
"worldly-sweep-6","74","-","","512","20","0.001","384","2","14","false","95.24","0.16581185925751923","95.79444444444444","0.135836161954223","95.16666666666669","0.16466908218959966"
"valiant-sweep-23","76","-","","1024","20","0.001","384","3","14","true","95.18","0.16062508001923562","95.47777777777776","0.14541294650649125","94.66666666666669","0.1786758154630661"
"revived-sweep-1","244","-","","512","20","0.001","384","2","14","true","95.06","0.1685860024765134","95.9851851851852","0.13068304161699312","95.31666666666666","0.15740831072131792"
"absurd-sweep-12","69","-","","1024","16","0.001","384","2","14","false","94.99","0.16480294317007066","95.29444444444444","0.15716303069636506","94.46666666666668","0.19261272003253305"
"brisk-sweep-28","80","-","","1024","20","0.001","384","2","14","false","94.94","0.16763161420822142","95.53703703703704","0.1480778802959424","94.96666666666668","0.1729075014591217"
"smooth-sweep-30","79","-","","1024","20","0.001","384","3","14","false","94.94","0.17500909864902495","95.6074074074074","0.14177561495101676","94.31666666666666","0.1831497624516487"
"genial-sweep-5","89","-","","1024","20","0.001","384","4","14","false","94.88","0.17041128054261206","95.4851851851852","0.14779103434873078","94.58333333333331","0.18327602495749792"
"lively-sweep-27","96","-","","512","20","0.001","128","3","14","true","94.6","0.18354611434042453","95.80925925925926","0.13740768958375138","94.66666666666669","0.18897879496216777"
"drawn-sweep-9","53","-","","1024","12","0.001","384","2","14","true","94.07","0.19766044989228249","94.21296296296296","0.18886467280252925","93.81666666666666","0.2074477175871531"
"bumbling-sweep-14","105","-","","512","20","0.001","128","4","14","true","93.83","0.20907338857650756","94.88888888888889","0.16784888906580098","93.75","0.20792135347922644"
"sparkling-sweep-4","87","-","","1024","20","0.001","384","4","14","true","93.1","0.22259773537516592","93.82962962962964","0.19956234828481137","93.63333333333334","0.218102735777696"
"helpful-sweep-20","54","-","","1024","12","0.001","128","3","14","true","92.19","0.2623445108532906","91.93703703703704","0.2651869941432521","91.83333333333331","0.2791619971394539"
"cosmic-sweep-15","94","-","","512","20","0.0001","384","2","14","false","90.43","0.31146419793367386","90.66481481481482","0.31161006554117743","89.7","0.3295895519355933"
"fearless-sweep-18","57","-","","1024","12","0.001","128","4","14","true","90.25","0.329047492146492","90.9462962962963","0.31416387434275644","90.05","0.34979457159837085"
"chocolate-sweep-11","98","-","","512","20","0.0001","384","3","14","true","89.92","0.3477489985525608","89.57777777777778","0.34624348847933534","89.31666666666666","0.3549179707964261"
"generous-sweep-25","89","-","","1024","20","0.0001","384","2","14","true","88.62","0.37710900157690047","88.61851851851851","0.3865659141315605","88.48333333333333","0.38822674254576367"
"robust-sweep-21","79","-","","1024","20","0.0001","384","3","14","false","86.79","0.43503719866275786","86.0537037037037","0.4508080713029178","85.91666666666667","0.4684636990229289"
"treasured-sweep-24","82","-","","1024","20","0.0001","384","3","14","true","86.74","0.43149694204330447","86.63333333333334","0.43990713751540994","86.16666666666667","0.46274620791276294"
"rural-sweep-17","84","-","","512","16","0.0001","384","3","14","false","86.62","0.43697989359498024","86.57592592592593","0.4372578595044478","85.38333333333334","0.4635139728585879"
"wobbly-sweep-26","79","-","","1024","20","0.0001","128","2","14","false","85.07","0.4808188736438751","84.76666666666667","0.49772243960848395","84.08333333333333","0.5232319285472234"
"whole-sweep-10","84","-","","1024","20","0.001","384","4","7","true","81.84","0.5543735444545745","81.58148148148148","0.56248572918604","81.9","0.5445612867673238"
"olive-sweep-13","55","-","","1024","12","0.0001","128","2","14","true","79.77","0.6440007507801055","78.03888888888889","0.6894144415855408","78.56666666666666","0.6750630040963491"
"radiant-sweep-19","85","-","","1024","20","0.001","384","4","7","false","79.12","0.6296841084957123","79.40185185185184","0.6128736127097651","78.6","0.6268857022126516"
"divine-sweep-8","38","-","","1024","20","0.001","384","5","14","true","59.24","1.1778132021427157","68.45","0.9587000046136244","73.03333333333333","0.8490288853645325"
"misty-sweep-2","50","-","","512","20","0.001","384","5","7","true","58.82","1.159726366400719","57.05925925925926","NaN","58.05","1.1749845842520397"
"quiet-sweep-3","74","-","","512","12","0.0001","64","5","14","false","57.62","1.093024030327797","55.23148148148148","1.1451756942946956","56.78333333333333","1.0934208730856578"
"hardy-sweep-22","73","-","","1024","16","0.0001","384","5","7","true","51.9","1.2741723656654358","50.81851851851851","1.2975407029097934","51.53333333333333","1.3021492560704548"
"true-sweep-16","61","-","","1024","16","0.001","384","4","7","false","41.47","1.747336733341217","40.6037037037037","NaN","67.26666666666667","0.9252850413322448"