"Name","Runtime","Notes","Tags","epochs","ffn_dim","num_encoders","num_heads","patch_size","weight_decay","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy.max","val_loss.min"
"swift-sweep-45","266","-","","25","2048","5","64","14","0.0001","99.01","0.5295563101768493","97.49444444444444","0.5675304068459405","97.85","0.5551045338312784"
"distinctive-sweep-6","346","-","","32","1024","5","32","7","0.01","99.01","0.5267246842384339","97.77962962962962","0.5605143639776442","98.08333333333331","0.550881564617157"
"fine-sweep-3","240","-","","32","2048","6","32","14","0","98.97","0.5277092099189759","97.6462962962963","0.5624877523492884","98.06666666666666","0.5541678468386332"
"fluent-sweep-37","263","-","","40","1024","6","64","14","0","98.96","0.5306955456733704","97.78148148148148","0.5602705147531297","98.13333333333334","0.5513416528701782"
"misty-sweep-1","274","-","","32","1024","6","32","14","0.01","98.94","0.5291648268699646","97.93148148148148","0.5580760637919108","98.1","0.5485464930534363"
"colorful-sweep-19","233","-","","40","2048","5","32","14","0","98.93","0.5306731581687927","97.4351851851852","0.5700850288073221","97.78333333333332","0.556087851524353"
"atomic-sweep-47","349","-","","32","1024","5","64","7","0.01","98.91","0.5297597765922546","97.55925925925926","0.5661848054991828","97.85","0.5557853579521179"
"soft-sweep-31","201","-","","40","2048","6","64","14","0","98.91","0.5309350609779357","96.96666666666668","0.5811642496674149","97.36666666666666","0.5670815706253052"
"autumn-sweep-28","261","-","","32","2048","6","64","14","0.0001","98.88","0.5307084321975708","97.46851851851852","0.5697765195811236","97.5","0.5639117558797201"
"dry-sweep-29","206","-","","40","1024","5","32","14","0.001","98.87","0.5333032250404358","97.33518518518518","0.5720154863816721","97.6","0.5617732206980387"
"jolly-sweep-40","234","-","","40","2048","5","64","14","0.001","98.86","0.530037236213684","97.63518518518518","0.5650120554146943","97.93333333333334","0.557913064956665"
"cerulean-sweep-11","272","-","","32","2048","5","32","14","0.001","98.84","0.5297691106796265","97.38703703703705","0.5702884241386696","97.61666666666666","0.5594238638877869"
"earthy-sweep-35","333","-","","40","2048","5","64","7","0","98.81","0.5318753480911255","97.47962962962964","0.568231322147228","98.03333333333332","0.5507760445276896"
"bright-sweep-44","219","-","","40","1024","6","32","14","0.0001","98.81","0.5320854544639587","97.42592592592592","0.5716111682079457","97.75","0.5603420933087667"
"mild-sweep-30","190","-","","32","1024","6","64","14","0.001","98.8","0.5331015944480896","97.28703703703704","0.5740430708284732","97.45","0.5663774410883585"
"tough-sweep-33","250","-","","32","1024","6","64","14","0.0001","98.79","0.5317169427871704","97.62592592592593","0.5647209043856021","97.73333333333332","0.5613613128662109"
"fanciful-sweep-49","210","-","","25","1024","5","64","14","0.01","98.78","0.5309513211250305","97.4351851851852","0.569082913575349","97.78333333333332","0.5591627756754557"
"likely-sweep-27","223","-","","25","4096","5","64","14","0.0001","98.77","0.5334261536598206","97.3037037037037","0.5723890198601617","97.43333333333334","0.5669365326563517"
"neat-sweep-23","261","-","","40","2048","5","64","14","0.0001","98.76","0.5326949238777161","97.41666666666669","0.571137684362906","97.56666666666666","0.5624652902285258"
"spring-sweep-20","223","-","","40","2048","6","64","14","0","98.76","0.5320842027664184","97.37962962962963","0.5723756066075077","97.71666666666668","0.558915893236796"
"graceful-sweep-32","202","-","","32","4096","5","64","14","0.0001","98.74","0.5333784103393555","97.07592592592592","0.5785032179620531","97.13333333333334","0.5737475355466207"
"valiant-sweep-38","197","-","","32","1024","6","64","14","0","98.72","0.5358774662017822","96.92407407407408","0.5827172155733462","97.36666666666666","0.570690929889679"
"eager-sweep-36","171","-","","40","4096","5","64","14","0","98.72","0.5374518156051635","96.77037037037036","0.586736226523364","97.05","0.577763020992279"
"northern-sweep-13","227","-","","40","4096","5","64","14","0.0001","98.7","0.536151671409607","97.31851851851852","0.5712095896402994","97.36666666666666","0.566000779469808"
"sandy-sweep-21","216","-","","40","1024","6","64","14","0.001","98.66","0.5369690775871276","97.24444444444444","0.5760578800130773","97.58333333333331","0.5612668991088867"
"decent-sweep-12","201","-","","32","1024","5","64","14","0.001","98.63","0.5384813189506531","97.50555555555556","0.5668281934879444","97.55","0.5658904910087585"
"leafy-sweep-34","177","-","","25","1024","5","64","14","0.001","98.61","0.5368468403816223","97.31851851851852","0.5731184857862966","97.45","0.5653416911760966"
"vital-sweep-26","175","-","","40","2048","6","64","14","0.0001","98.59","0.5383443713188172","96.9425925925926","0.5812291436725192","97.25","0.5703746279080709"
"treasured-sweep-10","201","-","","32","4096","6","64","14","0","98.56","0.5374593615531922","96.82407407407408","0.5856487795158669","97.38333333333334","0.5700428088506063"
"electric-sweep-14","137","-","","40","1024","5","64","14","0","98.55","0.5393252491950988","97.44444444444444","0.567784344708478","97.41666666666669","0.5656946102778116"
"rare-sweep-48","270","-","","32","4096","5","64","14","0","98.54","0.5389512062072754","96.72407407407408","0.5868397288852267","96.85","0.5796089172363281"
"clean-sweep-46","163","-","","40","1024","5","64","14","0.01","98.54","0.5403756141662598","96.74444444444444","0.5863066558484678","97.16666666666669","0.5760815938313802"
"light-sweep-41","286","-","","40","1024","7","64","14","0.001","98.53","0.539507532119751","97.20925925925926","0.5760163333680894","97.25","0.5725865761439005"
"stellar-sweep-42","198","-","","32","2048","6","64","14","0.0001","98.5","0.5380093336105347","96.55","0.5921999679671394","96.78333333333332","0.5803307096163431"
"prime-sweep-17","166","-","","40","2048","6","64","14","0.001","98.47","0.5373880982398986","96.92777777777778","0.5819308824009366","97.38333333333334","0.5689308643341064"
"lucky-sweep-2","248","-","","40","4096","5","64","14","0.001","98.47","0.5432729363441468","96.38333333333334","0.5975018960458262","96.76666666666668","0.5816723704338074"
"summer-sweep-39","200","-","","40","1024","7","64","14","0.001","98.46","0.538409423828125","96.65925925925926","0.5877624948819479","97.25","0.5726412336031595"
"peachy-sweep-50","304","-","","32","1024","5","64","7","0.001","98.46","0.5409242987632752","96.92222222222222","0.5834149298844514","97.26666666666668","0.5740314324696859"
"usual-sweep-25","207","-","","32","2048","6","64","14","0.0001","98.42","0.5417828440666199","96.85925925925926","0.5846503641870286","97.18333333333334","0.570636252562205"
"pious-sweep-8","112","-","","40","2048","6","32","14","0.0001","98.39","0.5405357122421265","96.57962962962964","0.5909634011763113","96.53333333333332","0.587671955426534"
"rosy-sweep-15","288","-","","40","2048","6","64","7","0","98.39","0.5436217904090881","96.02962962962962","0.6039320230484009","96.45","0.587602953116099"
"cool-sweep-16","273","-","","40","1024","6","64","14","0.0001","98.35","0.5469282507896424","96.27777777777776","0.6017035599108096","96.71666666666668","0.587610105673472"
"lively-sweep-9","152","-","","32","1024","6","32","14","0.01","98.35","0.5448513269424439","96.19814814814816","0.6015203153645551","96.53333333333332","0.5892507831255595"
"twilight-sweep-43","140","-","","25","1024","5","64","14","0","98.34","0.5430892109870911","96.66296296296296","0.5896714373871133","97.16666666666669","0.5742709239323934"
"crimson-sweep-18","128","-","","32","2048","5","64","14","0.01","98.31","0.5472030878067017","96.42962962962964","0.5952578849262662","96.61666666666666","0.5856995185216268"
"hardy-sweep-24","217","-","","32","2048","5","64","14","0.0001","98.14","0.555720853805542","95.2648148148148","0.6266667114363776","95.96666666666668","0.6105085611343384"
"playful-sweep-22","302","-","","40","1024","5","64","14","0.0001","97.94","0.55916668176651","95.13333333333334","0.631066240646221","95.9","0.6125897963841757"
"cerulean-sweep-4","194","-","","25","4096","6","64","14","0","97.91","0.5601674675941467","95.17592592592592","0.6306478844748603","95.81666666666666","0.6094233194986979"
"cerulean-sweep-5","65","-","","25","4096","7","32","14","0","21.07","2.067420768737793","18.57592592592593","2.1499951945410833","20.633333333333333","2.085872252782186"
"tough-sweep-7","53","-","","40","4096","7","32","14","0.001","20.71","2.1058945655822754","19.883333333333333","2.178451750013563","20.6","2.139862537384033"