"Name","Runtime","Notes","Tags","model_dim","num_encoders","patch_size","num_heads","epochs","test_accuracy","test_loss","train_accuracy","train_loss","val_accuracy.max","val_loss.min"
"decent-sweep-40","343","-","","256","5","7","64","95","99.45","0.5187843799591064","98.91296296296296","0.5307021185203835","99.11666666666666","0.5282881259918213"
"bumbling-sweep-50","341","-","","256","5","7","64","95","99.44","0.5170311093330383","98.87592592592593","0.5315005845493741","99.25","0.525948186715444"
"colorful-sweep-12","316","-","","256","6","14","64","95","99.43","0.5179503321647644","98.86666666666666","0.5319690704345703","99.03333333333332","0.5280261039733887"
"super-sweep-48","377","-","","512","5","7","64","95","99.42","0.520607054233551","98.59814814814816","0.5351920238247624","99.06666666666666","0.5289535919825236"
"desert-sweep-18","322","-","","256","5","7","64","95","99.42","0.5163899660110474","98.88148148148149","0.5324201826696042","99.08333333333331","0.5281519691149393"
"serene-sweep-21","322","-","","256","5","7","64","95","99.41","0.5191916823387146","99","0.5294426260171113","99.13333333333334","0.5264282623926798"
"generous-sweep-32","402","-","","512","5","7","64","95","99.4","0.5192057847976684","98.79444444444444","0.533160823362845","98.91666666666669","0.5302326877911886"
"vital-sweep-44","340","-","","256","5","7","64","95","99.39","0.5185038447380066","98.92592592592592","0.5308195838221798","99.08333333333331","0.5264192422231039"
"swept-sweep-33","386","-","","512","5","7","64","95","99.39","0.5201757431030274","98.75","0.5331894115165428","99","0.5297282536824545"
"deft-sweep-45","344","-","","256","5","7","64","95","99.38","0.5205389380455017","98.88333333333334","0.5303413293979786","99.1","0.528161346912384"
"feasible-sweep-41","345","-","","256","5","7","64","95","99.37","0.5197442054748536","98.91851851851852","0.5305368701616923","99.11666666666666","0.5273692607879639"
"golden-sweep-16","323","-","","256","5","7","64","95","99.37","0.5189012289047241","98.91296296296296","0.5312176103945132","99.18333333333334","0.5257991154988607"
"silvery-sweep-35","350","-","","256","5","7","64","95","99.37","0.5198098301887513","98.92222222222222","0.5314845928439388","99.13333333333334","0.5259833534558614"
"azure-sweep-9","335","-","","256","6","7","64","95","99.36","0.5185699582099914","98.92037037037036","0.5305380688773261","99.08333333333331","0.5268242955207825"
"worthy-sweep-36","346","-","","256","5","7","64","95","99.36","0.5198329091072083","98.9851851851852","0.5294952900321396","99.2","0.5259026686350504"
"rural-sweep-27","323","-","","256","5","14","64","95","99.35","0.5205058813095093","98.88518518518518","0.5327921620121708","98.9","0.5320905049641927"
"jumping-sweep-29","328","-","","256","5","14","64","95","99.35","0.521580183506012","98.9074074074074","0.5315713021490309","98.88333333333334","0.5315086444218954"
"upbeat-sweep-14","312","-","","256","5","14","64","95","99.35","0.5219311118125916","98.85925925925926","0.5325670683825457","98.8","0.5309333801269531"
"pleasant-sweep-47","382","-","","512","5","7","64","95","99.35","0.5199110269546509","98.8037037037037","0.5325295682306643","99.01666666666668","0.5290733178456625"
"youthful-sweep-37","330","-","","256","5","14","64","95","99.34","0.5204983472824096","98.90925925925926","0.5318163876180295","98.96666666666668","0.5291179617245992"
"true-sweep-38","384","-","","512","5","7","64","95","99.34","0.5206995248794556","98.84444444444443","0.531712810198466","99.1","0.5288236141204834"
"honest-sweep-22","329","-","","256","5","7","64","95","99.33","0.5210423231124878","98.89444444444445","0.5320629676183065","99.06666666666666","0.5272045334180196"
"fluent-sweep-34","380","-","","512","5","7","64","95","99.33","0.5201057434082031","98.77037037037036","0.5329408137886612","98.93333333333334","0.5280051231384277"
"clean-sweep-24","327","-","","256","5","14","64","95","99.33","0.520214831829071","98.84444444444443","0.5330149487212852","99","0.5297231475512186"
"dainty-sweep-3","310","-","","256","5","14","64","95","99.33","0.5207103848457336","98.91851851851852","0.5307214260101318","98.9","0.5313646793365479"
"exalted-sweep-7","233","-","","256","6","7","64","64","99.33","0.520315659046173","98.5574074074074","0.5397550331221687","98.85","0.5338102181752523"
"likely-sweep-20","322","-","","256","5","7","64","95","99.32","0.519767677783966","98.83148148148148","0.5336320201555887","99.11666666666666","0.5272798538208008"
"breezy-sweep-10","332","-","","256","5","7","64","95","99.32","0.5208029985427857","98.85","0.5330150502699392","99.03333333333332","0.5267398556073507"
"stilted-sweep-19","327","-","","256","5","7","64","95","99.31","0.5191986203193665","98.80925925925926","0.5335412930559229","99.15","0.5260414282480875"
"radiant-sweep-49","387","-","","512","5","7","64","95","99.31","0.5205131769180298","98.7425925925926","0.5341063097671226","98.95","0.5308457215627035"
"firm-sweep-30","333","-","","256","5","14","64","95","99.3","0.5194710612297058","98.95925925925926","0.529880287470641","98.98333333333332","0.5285031398137411"
"dulcet-sweep-43","387","-","","512","5","7","64","95","99.3","0.5231128573417664","98.80925925925926","0.5316440463066101","99.05","0.5286532839139303"
"wild-sweep-6","314","-","","256","5","14","64","95","99.29","0.5224291086196899","98.9074074074074","0.5319426192177666","98.83333333333331","0.5338166157404581"
"twilight-sweep-5","223","-","","256","5","7","64","64","99.28","0.520698082447052","98.4851851851852","0.5414005186822679","98.85","0.5322046478589376"
"wise-sweep-25","334","-","","512","5","14","64","95","99.27","0.5217269897460938","98.60185185185183","0.5363948588018064","98.71666666666668","0.5387222766876221"
"lunar-sweep-42","245","-","","512","5","7","64","64","99.26","0.5207267522811889","98.52592592592592","0.5375402900907729","98.75","0.5346027215321859"
"lyric-sweep-15","337","-","","256","6","14","64","95","99.26","0.5209911584854126","98.86481481481482","0.5323773732891789","98.91666666666669","0.5324127674102783"
"mild-sweep-28","236","-","","256","5","14","64","64","99.24","0.5210561513900757","98.67962962962964","0.5376179306595413","98.75","0.536286473274231"
"fragrant-sweep-46","342","-","","512","5","14","64","95","99.24","0.5231710910797119","98.57962962962964","0.5370921514652394","98.73333333333332","0.5379409193992615"
"divine-sweep-31","333","-","","512","5","14","64","95","99.24","0.5215956568717957","98.64444444444445","0.53592934873369","98.7","0.536992609500885"
"quiet-sweep-17","316","-","","256","5","14","64","95","99.23","0.5227045893669129","98.8962962962963","0.5316162330132944","98.88333333333334","0.5321004192034403"
"misty-sweep-8","164","-","","512","5","14","64","45","99.22","0.5232251644134521","98.36296296296295","0.543772264763161","98.41666666666669","0.5412026047706604"
"major-sweep-11","322","-","","512","6","14","64","95","99.22","0.5214082598686218","98.62222222222222","0.5356734814467253","98.73333333333332","0.536383330821991"
"lucky-sweep-23","323","-","","512","5","14","64","95","99.22","0.5246535897254944","98.70370370370372","0.5354213604220638","98.75","0.5361576875050863"
"stellar-sweep-2","219","-","","512","6","14","32","64","99.2","0.5247879028320312","98.46851851851852","0.5412137265558596","98.5","0.5432376662890116"
"solar-sweep-13","313","-","","512","5","14","64","95","99.19","0.5225120425224304","98.67777777777778","0.533445742395189","98.8","0.5376816590627035"
"fresh-sweep-26","237","-","","512","5","14","64","64","99.16","0.5251824975013732","98.53148148148148","0.5406798013934383","98.66666666666669","0.5381811261177063"
"fiery-sweep-4","187","-","","512","6","7","64","45","99.13","0.5215022921562195","98.38518518518518","0.5423840880393982","98.53333333333332","0.538138747215271"
"drawn-sweep-39","384","-","","512","5","7","64","95","99.12","0.525677227973938","98.83888888888887","0.5310390370863455","99.06666666666666","0.5303421417872111"
"wobbly-sweep-1","131","-","","256","6","7","32","25","98.54","0.5375402688980102","96.61481481481482","0.5902632739808824","97.2","0.5703679521878561"